id,reg_date,reply_yn,district,vote_score,title,content,category,sub_category,micro_category,department_group,primary_dept,primary_phone,secondary_depts,all_rankings,matched_policy_count,matched_policies,policy_summaries,connection_status,quality_flags,audit_flags,url
PROP-202443,2026-07-21,N,미상,0.0,서울시 신혼부부 지원,"안녕하세요, 서울시 주택 전세가격이 너무 올랐습니다. 서울시 신혼부부 임차보증금 이자지원을 받아 전세를 들어왔지만 연장이 힘들 것 같습니다..전세 보증금 한도 7억에서 5퍼센트라도 더 올려주시길 제안합니다. 현재 전세 연장시 7억이 넘는 곳이 너무 많습니다.",주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,주거·교통·도시생활환경,저출생사업1팀,02-2133-5025,가족지원팀,1순위:저출생사업1팀 | 2순위:가족지원팀,5,신혼부부 결혼ㆍ살림비용 지원 | 자녀출산 무주택가구 주거비 지원 | 신혼희망타운 | 신혼부부 전용 주택 구입 자금 대출 | 신혼부부 임차보증금 이자 지원,"ㅇ 결혼ㆍ살림 비용 최대 100만원 지원    - 결혼준비 및 혼인살림 장만 관련 비용 지출    ※ 생애 1회 지급   ? 결혼준비 : 혼수, 예식장, 신혼여행, 청첩장 등    ? 혼인살림 : 전자제품, 주방가전... | 월 최대 30만원(2년간 최대 720만원) 주거비 지원 | 신혼희망타운 분양?임대주택 공급 및 청약 자격 제공 | 연 2.55~3.85% 금리로 주택구입 자금 대출, 최대 3억 2천만 원 한도 | - 임차보증금 대출금: 최대 3억원(임차보증금의 90% 이내) - 이자지원 금리: 최대 4.5% - 지원기간: 최장 10년(25.11.20. 부터 최장 12년) ※ 자세한 사항은 서울주거포털 공고문 참조",,,,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202443
PROP-202432,2026-07-21,N,종로구,0.0,서울시 양육지원 서비스 이용대상 확대 및 종로구 백일·돌상 촬영공간 조성 건의,서울시 양육지원 서비스 이용대상 확대 및 종로구 백일·돌상 촬영공간 조성 건의,정보·상담·교육·거버넌스,양육지원 서비스 접근성,신청·이용대상 기준 개선,정보·상담·교육·거버넌스,저출생사업1팀,02-2133-5021,,1순위:저출생사업1팀,0,,,,,"TAG_REVIEW:현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함 || TAG_REVIEW:현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202432
PROP-202418,2026-07-19,N,미상,0.0,임산부 스마트 배려 뱃지 도입 제안,"임산부 스마트 배려 뱃지 도입 제안
현재 사용되고 있는 임산부 배려 뱃지는 임산부임을 주변에 알리는 상징적인 역할만 수행하고 있으며, 별도의 기능이 없어 활용성이 제한적입니다. 이에 기존 임산부 배려 뱃지에 다양한 디지털 기능을 결합한 '임산부 스마트 배려 뱃지'？를 도입하여 임산부의 편의성과 안전성을 높이고, 사회적 배려 문화를 보다 실질적으로 확산시키고자 합니다.
첫 번째로, 기존 임산부 배려 뱃지에 신용카드 기능(NFC)？을 탑재하여 하나의 카드로 신분 확인과 결제를 동시에 수행할 수 있도록 합니다. 별도의 카드를 소지할 필요 없이 뱃지 하나만으로 일상생활에서 다양한 서비스를 이용할 수 있어 휴대성과 편의성이 크게 향상될 것으로 기대됩니다.
두 번째로, 제휴 가맹점이나 정부 지원 대상 업종에서 카드로 결제할 경우 임산부 대상 할인 혜택이 자동으로 적용되도록 합니다. 별도의 쿠폰이나 증빙서류를 제시하지 않아도 시스템에서 자동으로 대상 여부를 확인하여 할인이나 지원 혜택을 제공함으로써 이용자의 편의성을 높이고 행정 절차를 간소화할 수 있습니다.
세 번째로, 스마트 뱃지 분실 시에는 분실 신고와 동시에 카드 기능 및 뱃지 기능을 즉시 중지할 수 있도록 하며, 재발급된 뱃지만 정상적으로 사용할 수 있도록 관리 체계를 구축합니다. 이를 통해 개인정보를 보호하고 부정 사용을 예방하여 안전한 서비스 운영이 가능합니다.
네 번째로, 뱃지에는 임산부 의료 정보 QR코드를 제공합니다. 응급 상황 발생 시 의료진이나 보호자가 QR코드를 통해 혈액형, 임신 주수, 응급 연락처, 복용 중인 약물, 주의해야 할 질환 등 사전에 등록된 정보를 신속하게 확인할 수 있도록 합니다. 이를 통해 응급 대응 시간을 단축하고 보다 적절한 의료 서비스를 제공할 수 있습니다.
다섯 번째로, 버스 탑승 시 교통카드 기능을 이용하여 승차하면 차량 내 시스템과 연동되어 ""임산부가 탑승하였습니다. 배려석 양보에 협조 부탁드립니다.""？와 같은 안내 방송이 자동으로 송출되도록 합니다. 이를 통해 임산부가 직접 도움을 요청하지 않아도 자연스럽게 배려를 유도할 수 있으며, 사회적 인식 개선에도 기여할 것으로 기대됩니다.
여섯 번째로, 지하철 임산부 배려석에는 전용 태그존(Tag Zone)？을 설치합니다. 임산부가 배려석에 착석할 경우 스마트 뱃지를 태그하면 정상적으로 이용 중임을 인식하여 별도의 안내는 발생하지 않습니다. 반면, 배려석이 사용 중인 상태에서 태그 없이 착석한 경우에는 안내음 또는 안내 메시지를 통해 배려석 이용 안내를 제공할 수 있습니다. 다만, 배려석이 비어 있는 경우에는 불필요한 안내가 발생하지 않도록 하여 이용자의 불편을 최소화합니다.
이와 같은 임산부 스마트 배려 뱃지는 단순한 식별 수단을 넘어 결제, 복지 서비스, 응급 의료, 대중교통 이용 지원을 하나로 통합한 스마트 플랫폼으로 발전할 수 있습니다. 이를 통해 임산부의 이동 편의와 안전성을 높이는 것은 물론, 사회 전반에 임산부를 배려하는 문화를 자연스럽게 확산시키는 계기가 될 것으로 기대됩니다. 또한 향후 출산 지원 정책, 육아 지원 서비스, 공공시설 이용 혜택 등과도 연계하여 다양한 공공서비스를 제공하는 기반으로 활용할 수 있을 것입니다.",임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,임신·난임·생식건강,건강임신지원팀,02-2133-9492,저출생사업1팀 | 가족지원팀,1순위:건강임신지원팀 | 2순위:저출생사업1팀 | 3순위:가족지원팀,1,임산부 배려공간 조성,ㅇ 교통 약자인 임산부의 엘리베이터 안전사고 예방 및 배려문화 확산을 위해 엘리베이터 내?외부에 임산부 배려공간 조성(엠블럼 부착)   - 임산부를 위해 해당 공간을 비워두고 양보하는 사회 분위기 확산 유도 ㅇ 임산...,,,,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202418
PROP-202389,2026-07-15,N,광진구,0.0,친환경 수열 에너지 및 빗물 순환 기술을 적용한 '[자양한강도서관] 유수지 복합 스포츠센터(아이스링크)' 건립 제안,"제안 배경:
관내 실내 빙상장 부족으로 인한 동호인 및 청소년 체육 환경 열악.
도심 기피 시설인 유수지 공간을 복개하여 주민 친화적 생활 SOC로 전환 필요.
기대 효과 (차별성):
부지 비용 '0원':
신규 토지 매입 없이 기존 시유지/구유지(유수지)를 활용해 수백억 원의 예산 절감.
친환경 에너지 모델:
빗물 정화수를 활용한 고품질 빙질 유지 및 하수/유수 수열 에너지를 이용한 냉동기 가동 (탄소중립 실현 및 운영비 혁신적 감축).",정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,정보·상담·교육·거버넌스,저출생사업1팀,02-2133-5027,생활지원팀,1순위:저출생사업1팀 | 2순위:생활지원팀,0,,,,,"TAG_REVIEW:현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함 || TAG_REVIEW:현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202389
PROP-202347,2026-07-09,N,미상,0.0,서울시 초등돌봄센터 일시돌봄 이용대상자 확대,"안녕하세요 수고 많으십니다.
서울시 내 초등돌봄센터가 긴급서비스에 해당하는 '일시돌봄' 또한
해당 초등학교 재학생만을 이용대상으로 제한하고 있습니다.
이에, 방학 중 '일시돌봄'의 경우 이용대상자를 해당 구민으로 확대할 것을 제안드립니다.
[이슈사항]
1. 서울덕수초등학교 돌봄센터의 경우 '23년 8월 8일 서울시 중부교육지원청-서울 중구청-서울덕수초등학교 간 체결한
업무협약서 제 4조에 의거 돌봄센터의 이용대상자를 덕수초 학생으로 제한함.
2. 다자녀 가구의 경우 개인 사정상, 한 아이는 덕수초등학교에 재학하고, 다른 아이는 타학교에 재학하는 경우가 있음.
3. 맞벌이 부부의 경우, 방학 중에 '일시돌봄' 형태로 해당 돌봄센터에 아이를 맡기려고 하나, 위와 같은 업무협약서 조항으로
인해 아이들을 각각 다른 돌봄센터에 맡겨야 하는 비합리적인 상황이 발생함.
4. 중구청 교육담당자 또한 상기 3 개 기관이 체결한 업무협약서에 의거하여 업무처리를 할 수밖에 없으므로,
해당 협약서의 조항 개정이 필요함.
[제안사항]
1. 해당 업무협약서 제 4조의 개정
- ""서울덕수초등학교 내 [중구형 초등돌봄교실]은 서울억수초등학교 학송 또는 중구민을 이용대상으로 한다""
2. 또는 '일시돌봄'의 경우 덕수초 재학생 또는 중구민을 이용 대상에 확대
[기타 참고사항]
1.
'일시돌봄'은 용어 그대로 일종의 '긴급'서비스이나, 중부교육지원청-중구청-덕수초 간 체결한 개별 협약서로 인해
서울시에서 마련한 좋은 제도의 취지가 활용되지 못하는 상황이 발생.
2. 해당 돌봄센터가 교내에 위치하고 있으므로, 학기 중에는 재학생을 대상으로 제한하는 것이 합리적이나,
방학 중 '일시돌봄'의 경우까지 이용대상을 제한하는 것은 비합리적임.",보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,보육·돌봄 인프라,돌봄사업팀,02-2133-6560,저출생사업1팀,1순위:돌봄사업팀 | 2순위:저출생사업1팀,5,서울형 손주돌봄수당 지원(민간형) | 서울형 손주돌봄수당 지원(친인척형) | 서울형 아이돌봄비 지원 | 외국인 가사(육아)인력 시범사업 | 영아 전담 아이돌봄서비스,"영아를 키우는 가정에서 조부모(4촌 이내 친인척 포함)가 영아를 돌보는 경우 또는 서울시에서 지정한 민간기관의 손주돌봄 서비스를 이용 시 돌봄 비용을 지원(택1)하여 가정의 양육부담 경감 ① 친인척 조력자 손주돌봄수... | 영아를 키우는 가정에서 조부모(4촌 이내 친인척 포함)가 영아를 돌보는 경우 또는 서울시에서 지정한 민간기관의 손주돌봄 서비스를 이용 시 돌봄 비용을 지원(택1)하여 가정의 양육부담 경감 ① 친인척 조력자 손주돌봄수... | 영아를 키우는 가정에서 조부모(4촌 이내 친인척 포함)가 영아를 돌보는 경우 또는 서울시에서 지정한 민간기관의 아이돌봄서비스를 이용 시 돌봄 비용을 지원(택1)하여 가정의 양육부담 경감 ① 친인척 조력자 아이돌봄비 ... | 맞벌이 부부 등 ‘육아 조력자’의 도움이 절실한 자녀양육 가정에 외국인 육아도우미를 활용한 양육지원사업 도입 | 출산휴가, 육아휴직 후 복귀하는 맞벌이 가정을 지원하고자 영아 돌봄 교육을 이수한 전담 돌보미가 영아 이유식 먹이기, 젖병 소독 등 영아 특화 돌봄서비스 제공",,,,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202347
PROP-202344,2026-07-08,N,미상,1.0,유아숲체험원 운영 용역사업 평가 개선 건의문,"“
유아숲체험원 운영 용역사업의 제안 평가는
영유아를 대상으로 하는
“
특정 대상
”
인 것 만큼
,
‘
잘 만든 제안서
’
가 아니라
,
영유아의 발달 특성과 안전을 실제 구현할 수 있는
열심하는 유아숲지도사의 숲 현장 노력과
전문성 중심
으로
재편되어야 합니다
.”",정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,정보·상담·교육·거버넌스,저출생사업1팀,02-2133-5021,가족건강팀,1순위:저출생사업1팀 | 2순위:가족건강팀,0,,,,,"TAG_REVIEW:현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함 || TAG_REVIEW:현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202344
PROP-202286,2026-06-29,N,미상,0.0,저출산 고령화 문제에 관한 제안,"280조를 쓰고도 출산율이 폭락한 진짜 이유: '재생산 노동의 파업'
？？ 작성 취지
정부는 지난 18년간 280조 원이라는 막대한 예산을 투입했지만, 대한민국은 합계출산율 0.72명(서울 0.55명)이라는 사상 초유의 인구 소멸 위기에 직면해 있습니다. 본 글은 현금 지급이나 어린이집 확충 같은
'임시방편성 증상 치료' 중심의 기존 정책 한계를 지적
하고, 아이를 낳고 키우는
'재생산 노동'이 사회적으로 무가치하게 여겨지는 구조적 모순을 폭로
하고자 작성되었습니다. 저출산의 본질은 비용의 문제가 아니라, 합리적인 개인들이 선택한 '구조적 파업'임을 알리고 인식의 대전환을 촉구하기 위함입니다.
충격적인 대한민국의 현실:
2023년 합계출산율 0.72명(OECD 평균 1.5명의 절반 이하). 이 추세라면 2100년 대한민국 인구는 현재의 절반인 2,400만 명으로 급감합니다.
역대 정부 정책의 반복된 실패:
노무현 정부부터 윤석열 정부까지 출산장려금, 무상보육, 아동수당, 부모급여 등 끊임없이 돈을 쏟아부었으나 출산율은 매년 역대 최저치를 경신했습니다.
돈을 줘도 안 낳는 진짜 이유:
생산 노동 VS 재생산 노동:
우리 사회는 직장에서 돈을 버는 '생산 노동'만 가치 있게 여기고, 아이를 키우는 '재생산 노동'은 무임금·무인정의 영역으로 방치했습니다.
경력 단절과 독박 부담:
아이를 키우는 행위가 개인에게는 '경력 공백', '연금 공백' 등 철저한 손해로 돌아오는 구조입니다. 몇백만 원의 지원금으로는 십수 년간 이어지는 육아 노동의 기회비용을 절대 보상할 수 없습니다.
결론:
지금의 저출산 현상은 단순한 인구 감소가 아닙니다. 자본주의 역사 속에서 오랜 시간 무상으로 착취당해 온 '재생산 노동(육아·가사)이 드디어 파업을 선언한 결과'입니다.
？？
저출산·고령화의 진짜 해법 【시리즈 1편】",출산·산후 초기지원,출산가구 초기지원,출산지원금·출생축하,출산·산후 초기지원,가족건강팀,02-2133-9485,,1순위:가족건강팀,5,서울형 육아휴직장려금(사업종료) | 서울형 육아휴직장려금 | 서울시 중소기업 워라밸 포인트제 | 서울형 新일?생활 균형 3종 패키지 | 서울형 일?생활 균형 3종 패키지,"○ 자녀 1인당 최대 120만원 지원 - 육아휴직기간 연속 6개월 시 60만원, 연속 12개월 경과 시 60만원 추가지급 ※ 부?모 모두 육아휴직 시 각각 지급 (자녀 1인에 대해 가구당 최대 240만원 지급) | ○ 자녀 1인당 최대 120만원 지원 - 육아휴직기간 연속 6개월 시 60만원, 연속 12개월 경과 시 60만원 추가지급 ※ 부?모 모두 육아휴직 시 각각 지급 (자녀 1인에 대해 가구당 최대 240만원 지급) | 양육친화 및 일?생활 균형을 위한 중소기업의 다양한 노력을 인정하고 중소기업이 아이 키우기 좋은 기업으로 성장할 수 있도록 지원하는 사업 ① 양육친화 및 일?생활 균형 실적에 따른 포인트 적립 ② 적립 포인트에 따른... | 양육 친화 기업문화 조성을 위해 서울형 新 일?생활 균형 3종 패키지를 시행함으로써 초저출생 위기 극복 및 일?생활 균형 문화 확산 ? 배우자 출산휴가 의무제(10일) ? 육아휴직 사용 활성화 ? 육아기 근로시간 단... | 양육 친화 기업문화 조성을 위해 서울형 일?생활 균형 3종 패키지를 시행함으로써 초저출생 위기 극복 및 일?생활 균형 문화 확산 ? 배우자 출산휴가 의무제(10일) ? 육아휴직 사용 활성화 ? 육아기 근로시간 단축 ...",,,,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202286
PROP-202264,2026-06-26,N,미상,0.0,[BTF푸른나무재단] 아이들이 안전한 학교를 위한 학교폭력 예방 및 대응 정책 제안서 전달,"서울시장 당선인님께
안녕하십니까
.
BTF
푸른나무재단입니다
.
먼저 제
9
회 전국동시지방선거 지방자치단체장 당선을 진심으로 축하드립니다
.
BTF
푸른나무재단은
1995
년 학교폭력 피해로 아들을 잃은 아버지의 간절한 염원에서 시작되어
,
지난
30
년간 학교폭력 예방과 피해학생 치유
,
정책 제안과 사회변화 활동을 이어온 비영리공익법인입니다
.
지금 학교폭력은 다시 중요한 전환점에 놓여 있습니다
.
학교폭력의 저연령화
,
반복 피해
·
가해 증가
,
도움요청 감소
,
침묵과 방관의 확대는 학교가 아이들에게 충분히 안전한 공간인지 다시 묻게 하고 있습니다
.
학교폭력 대응은 더 이상 사건 발생 이후의 처리에만 머물 수 없습니다
.
예방
,
조기 발견
,
피해학생 보호와 회복
,
가해학생의 책임 있는 변화
,
학교와 지역사회의 연계가 함께 작동해야 합니다
.
이에
BTF
푸른나무재단은 당선인님의 취임 이후
지역사회에서
학교폭력 예방 및 대응 과제가 주요하게 반영될 수 있도록
「
제
9
회 지방선거 지방자치단체장 당선인에게 전하는 학교폭력 예방 및 대응 정책 제안서
」
를 전달드립니다
.
이번 제안서에는 다음의
3
대 정책 방향을 담았습니다
.
<
지방자치단체장 후보자께 제안드리는
3
대 공약
>
1.
학교폭력 대응이 작동하는 지역 책임체계를 마련해야 합니다
.
2.
아동
·
청소년의 마음건강을 위한 지역 인프라를 확충해야 합니다
.
3.
학교폭력이 지역사회 갈등의 씨앗이 되지 않도록 예방해야 합니다
.
아이들이 안심하고 배우며 성장할 수 있는 학교를 만드는 일은 더 이상 미룰 수 없는 과제입니다
.
당선인님께서 속한
지역사회 내에서 학교폭력 예방
·
대응 체계가 보다 구체적이고 지속 가능한 정책으로 이어질 수 있도록 깊은 관심과 검토를 부탁드립니다
.
첨부드리는 정책 제안서를 확인해 주시고 적극적 검토를 부탁드립니다
.
감사합니다
.
BTF
푸른나무재단 드림
붙임
. [BTF
푸른나무재단
]
제
9
회 전국동시지방선거 지방자치단체장 당선인에게 전하는 학교폭력 예방 및 대응 정책 제안서
1
부
.
끝
.
BTF
푸른나무재단 홈페이지
: https://btf.or.kr/
BTF
푸른나무재단 설립 스토리
: https://youtu.be/hdrJ5OaeUFY?si=vT_-efrAbET6hhnH
☎
BTF
푸른나무재단 학교폭력문제연구소
) 02-598-1640",정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,정보·상담·교육·거버넌스,저출생사업1팀,02-2133-5027,가족건강팀,1순위:저출생사업1팀 | 2순위:가족건강팀,0,,,,,"TAG_REVIEW:현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함 || TAG_REVIEW:현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202264
PROP-202259,2026-06-25,N,미상,0.0,청년 주거안정 및 다자녀 가구 주거이동 지원을 위한 소규모 오피스텔 공공매입 제도 개선 건의,"저는 3명의 자녀를 양육하고 있는 다자녀 가구의 엄마 입니다.
현재 다자녀 가구의 성장에 따른 주거 확장을 위해 주거 이동을 간절히 희망하고 있으나, 보유 중인 소형 오피스텔 1실의 극심한 환금성 저하로 인해 자금이 묶여 심각한 주거 이동의 제한을 겪고 있습니다.

보유 현황:
A주택(아파트): 서울 구로구 소재, 2008년 취득 후 10년 이상 실거주함. 현재는 5인 가족이 거주하기에 공간이 협소하여 전세를 주고 타 지역 임차 거주 중.
B오피스텔(준주택): 서울 금천구 소재 소형 오피스텔(전용면적 20.11㎡, 2022년 4월 사용승인). 
현재 청년 세입자에게 임대 중.

문제 상황: 자녀들의 성장에 맞추어 안정적인 실거주 주택으로 이주하고자 보유 중인 소형 오피스텔을 수년간 매각하려 노력하였으나, 장기 거래 절벽으로 인해 처분이 불가능한 상황입니다. 이에 따라 지속적인 세금 및 관리비 부담은 물론, 다자녀 가구의 주거 상향 이동이 완전히 차단되어 있습니다.

서민들의 전세 주거비 부담 완화를 위해 공공매입임대 사업의 중요성이 커지고 있음에도 불구하고, 현재 SH공사와 LH공사의 매입 기준은 공급자(건설사) 중심의 대량 매입에만 치중되어 있어 개인 소유의 소규모 자원은 원천적으로 배제되어 있습니다.
SH공사 기준의 한계: 2026년 매입 공고 기준 '사용승인일 2023.1.1. 이후', '호별 전용면적 23㎥~85㎥ 요건을 요구합니다. 본인이 보유한 오피스텔은 준공령(2022년 4월)과 전용면적(20.11㎡) 조건이 미달하여 신청조차 불가능합니다.
LH공사 기준의 한계: '동일 소유자가 10세대 이상 일괄 매도'할 때만 부분매입 신청을 받아, 개인이 생계나 주거 이동을 위해 보유한 1호 가구는 매입 대상에서 제외됩니다.
이처럼 현행 제도는 서민·청년 1인 가구에게 즉시 공급 가능한 양질의 소형 오피스텔이 엄연히 존재함에도, 행정 편의적인 연식·면적·수량 규제에 가로막혀 민간의 우수한 주거 자원을 사장시키고 있습니다.

이에 다음과 같이 제도 개선을 건의드립니다.

정부가 추진하는 '저출생 극복'과 '청년 주거 안정'이라는 핵심 가치를 실현하기 위해 아래와 같이 실효성 있는 제도 개선을 강력히 건의합니다.

첫째, 개인 보유 1호 소규모 오피스텔의 공공매입 허용다주택 투기 세력과의 차별성을 기하기 위해, 개인이 보유한 1호 수준의 소형 오피스텔에 한해서는 10세대 이상 일괄 매도 등의 수량 제한을 폐지하고 개별 매입 검토 대상에 포함해 주십시오.

둘째, 청년 주거용 소형 오피스텔 매입 기준 현실화 (면적 및 연식 완화)대학생, 사회초년생, 청년 1인 가구가 실제 선호하고 거주 가능한 전용 20.11㎡ 내외의 소형 오피스텔에 대해, 보존 상태가 양호하다면 준공 3~5년 이내의 물건까지 공공매입 대상을 확대하여 임대주택 자원으로 즉시 활용해 주십시오.

셋째, 다자녀 가구 및 장기 실거주자 보유 자산에 대한 우대 대책 마련 저출생 대책의 일환으로, 다자녀 가구이거나 10년 이상 장기 실거주 주택을 보유한 가구가 생애주기상 주거 이동(확장)을 위해 소형 준주택 처분을 희망할 경우, 이를 우선 매입하거나 지원하는 별도의 트랙을 신설해 주십시오.

개인 소유 소형 오피스텔의 공공매입 제도가 개선된다면 다음과 같은 정책적 시너지가 기대됩니다.

청년 주거 안정: 도심 역세권 등에 위치한 소형 오피스텔을 공공이 흡수하여 청년·사회초년생에게 저렴하게 신속 공급할 수 있습니다.

출산율 제고 및 주거 상향 지원: 묶여 있던 자산의 선순환을 통해 다자녀 가구가 보다 넓고 쾌적한 주거 환경으로 이동할 수 있는 실질적인 사다리가 마련됩니다.

국민의 양육 현실과 자산 시장의 고충을 깊이 헤아려 주시어, 한정된 공공 자원이 가장 필요한 곳에 유연하게 쓰일 수 있도록 현행 매입 임대 제도의 지침을 전향적으로 개정해 주시기를 간곡히 부탁드립니다.

국민의 실제 주거 현실을 반영하여 소규모 오피스텔 공공매입 제도 개선을 다시 한번 적극 검토하여 주시기를 부탁드립니다.",주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,주거·교통·도시생활환경,저출생사업1팀,02-2133-5025,,1순위:저출생사업1팀,2,자녀출산 무주택가구 주거비 지원 | 주거급여 (맞춤형 급여) 취약계층 지원,월 최대 30만원(2년간 최대 720만원) 주거비 지원 | (소득인정액이 기준 중위소득 48% 이내의 가구/ 타인의 주택 등에 거주하면서 임대차 계약 등을 체결하고 임차료를 지불하는 자에게 지역별 기준임대료를 상한으로 실제 임차료(월임차료+보증금 환산액) 지원ㆍ3급지(광역시...,,,,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202259
PROP-202234,2026-06-23,N,미상,1.0,"초등학생 저녁식사 지원 서비스(키움센터 활용, 사전 예약 기반, 일부 비용 지급)","초등학생 저녁식사 지원 서비스(키움센터 활용, 사전 예약 기반, 일부 비용 지급)",보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,보육·돌봄 인프라,돌봄사업팀,02-2133-6560,,1순위:돌봄사업팀,0,,,,,,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202234
