proposal_id,title,issue_type,severity,detail,recommendation,category,sub_category,micro_category,department,source_url
PROP-202432,서울시 양육지원 서비스 이용대상 확대 및 종로구 백일·돌상 촬영공간 조성 건의,CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,정보·상담·교육·거버넌스,양육지원 서비스 접근성,신청·이용대상 기준 개선,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202432
PROP-202432,서울시 양육지원 서비스 이용대상 확대 및 종로구 백일·돌상 촬영공간 조성 건의,DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,정보·상담·교육·거버넌스,양육지원 서비스 접근성,신청·이용대상 기준 개선,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202432
PROP-202418,임산부 스마트 배려 뱃지 도입 제안,TAXONOMY_MISMATCH,medium,"내용 기반 후보=주거·교통·도시생활환경, 현재=임신·난임·생식건강",본문 확인 후 대·중·소분류 재분류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202418
PROP-202418,임산부 스마트 배려 뱃지 도입 제안,POLICY_REVIEW,medium,"저장 정책과 안전 매칭 후보 불일치; 후보=맘편한 KTX?SRT 임산부 할인, 핵심어=2개",정책 목적·대상·수단 수동 확인,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202418
PROP-202389,친환경 수열 에너지 및 빗물 순환 기술을 적용한 '[자양한강도서관] 유수지 복합 스포츠센터(아이스링크)' 건립 제안,CORRECTED_EXCLUSION_STALE,high,"일반 아동/학교/시설/안전 제안: 청소년, 스포츠센터 중심이며 출산·양육 직접 맥락 부족 (근거: data/processed/ver2_expanded/상상대로_신규수집_출산양육후보_보정제외로그_ver3.csv)",최종 데이터에서 제외 또는 별도 범위 밖 보관,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202389
PROP-202264,[BTF푸른나무재단] 아이들이 안전한 학교를 위한 학교폭력 예방 및 대응 정책 제안서 전달,CORRECTED_EXCLUSION_STALE,high,"일반 아동/학교/시설/안전 제안: 학교폭력, 청소년, 학교 중심이며 출산·양육 직접 맥락 부족 (근거: data/processed/ver2_expanded/상상대로_신규수집_출산양육후보_보정제외로그_ver3.csv)",최종 데이터에서 제외 또는 별도 범위 밖 보관,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202264
PROP-202259,청년 주거안정 및 다자녀 가구 주거이동 지원을 위한 소규모 오피스텔 공공매입 제도 개선 건의,TAXONOMY_MISMATCH,medium,"내용 기반 후보=출산·산후 초기지원, 현재=주거·교통·도시생활환경",본문 확인 후 대·중·소분류 재분류,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202259
PROP-202234,"초등학생 저녁식사 지원 서비스(키움센터 활용, 사전 예약 기반, 일부 비용 지급)",CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202234
PROP-202234,"초등학생 저녁식사 지원 서비스(키움센터 활용, 사전 예약 기반, 일부 비용 지급)",DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202234
PROP-202224,서울형 키즈카페의 행정 편의주의적 운영 규정 개선 및 다자녀 가구 역차별 해소 촉구,TAXONOMY_MISMATCH,medium,"내용 기반 후보=보육·돌봄 인프라, 현재=다자녀·양육비·생활지원",본문 확인 후 대·중·소분류 재분류,다자녀·양육비·생활지원,다자녀 혜택,다자녀 기준·할인·감면,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202224
PROP-202208,대중교통 임산부 배려석 뱃지 태그 시스템 도입,CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202208
PROP-202208,대중교통 임산부 배려석 뱃지 태그 시스템 도입,TAXONOMY_MISMATCH,medium,"내용 기반 후보=주거·교통·도시생활환경, 현재=임신·난임·생식건강",본문 확인 후 대·중·소분류 재분류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202208
PROP-202208,대중교통 임산부 배려석 뱃지 태그 시스템 도입,DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202208
PROP-202208,대중교통 임산부 배려석 뱃지 태그 시스템 도입,POLICY_UNVERIFIABLE,high,본문 없이 현행 정책이 저장 연결됨,정책 연결 제거·보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202208
PROP-202191,지역아동센터앞 교통안전을 위해서 붉은색으로 도로 안전구역 표시 부탁드립니다.,CORRECTED_EXCLUSION_STALE,high,출산·양육 직접 키워드 또는 조합 조건 미충족 (근거: data/processed/ver2_expanded/상상대로_추가크롤링후보_보정제외로그_ver3.csv),최종 데이터에서 제외 또는 별도 범위 밖 보관,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202191
PROP-202191,지역아동센터앞 교통안전을 위해서 붉은색으로 도로 안전구역 표시 부탁드립니다.,TAXONOMY_MISMATCH,medium,"내용 기반 후보=주거·교통·도시생활환경, 현재=정보·상담·교육·거버넌스",본문 확인 후 대·중·소분류 재분류,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202191
PROP-202117,타 지자체 거주 다자녀 가구의 공영주차장 이용 감면 및 주차난 해소를 위한 정책 개선을 건의합니다.,TAXONOMY_MISMATCH,medium,"내용 기반 후보=주거·교통·도시생활환경, 현재=다자녀·양육비·생활지원",본문 확인 후 대·중·소분류 재분류,다자녀·양육비·생활지원,다자녀 혜택,다자녀 기준·할인·감면,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202117
PROP-202113,영유아쉼터나 유아휴게실,TAXONOMY_MISMATCH,medium,"내용 기반 후보=주거·교통·도시생활환경, 현재=보육·돌봄 인프라",본문 확인 후 대·중·소분류 재분류,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202113
PROP-202095,지하철 임산부석에 임산부 아닌 사람들이 앉지 못하도록 하는 공공 디자인 제안,CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202095
PROP-202095,지하철 임산부석에 임산부 아닌 사람들이 앉지 못하도록 하는 공공 디자인 제안,DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202095
PROP-202095,지하철 임산부석에 임산부 아닌 사람들이 앉지 못하도록 하는 공공 디자인 제안,POLICY_UNVERIFIABLE,high,본문 없이 현행 정책이 저장 연결됨,정책 연결 제거·보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202095
PROP-202066,신생아 특례대출 기간 늘려주세요,TAXONOMY_MISMATCH,medium,"내용 기반 후보=임신·난임·생식건강, 현재=출산·산후 초기지원",본문 확인 후 대·중·소분류 재분류,출산·산후 초기지원,출산가구 초기지원,출산지원금·출생축하,가족건강팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202066
PROP-202014,서울특별시 신혼부부 임차보증금 대출 사업,CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202014
PROP-202014,서울특별시 신혼부부 임차보증금 대출 사업,DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202014
PROP-202014,서울특별시 신혼부부 임차보증금 대출 사업,POLICY_UNVERIFIABLE,high,본문 없이 현행 정책이 저장 연결됨,정책 연결 제거·보류,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202014
PROP-201995,어린이 보호구역내 인도의 표지판 기둥 하단 밝은 스티커 부착 제안,CORRECTED_EXCLUSION_STALE,high,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족 (근거: data/processed/ver2_expanded/상상대로_신규수집_출산양육후보_보정제외로그_ver3.csv),최종 데이터에서 제외 또는 별도 범위 밖 보관,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201995
PROP-201851,혼잡 버스 내 임산부 안전 확보위한 자동안내시스템 건의,CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201851
PROP-201851,혼잡 버스 내 임산부 안전 확보위한 자동안내시스템 건의,DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201851
PROP-201851,혼잡 버스 내 임산부 안전 확보위한 자동안내시스템 건의,POLICY_UNVERIFIABLE,high,본문 없이 현행 정책이 저장 연결됨,정책 연결 제거·보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201851
PROP-201849,"아이들이 넘어지고 차가 부서지는 ""턱"" 대신, 기술이 있는 ""안전한 평면도로""를 제안합니다.",CORRECTED_EXCLUSION_STALE,high,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족 (근거: data/processed/ver2_expanded/상상대로_신규수집_출산양육후보_보정제외로그_ver3.csv),최종 데이터에서 제외 또는 별도 범위 밖 보관,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201849
PROP-201788,서울 시내버스 임산부/노약자 좌석 관련,CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201788
PROP-201788,서울 시내버스 임산부/노약자 좌석 관련,DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201788
PROP-201788,서울 시내버스 임산부/노약자 좌석 관련,POLICY_UNVERIFIABLE,high,본문 없이 현행 정책이 저장 연결됨,정책 연결 제거·보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201788
PROP-201727,[시민규제발굴단] 자치구별 야간 보육 거점 기관 지정 의무화 및 접근성 강화,POLICY_REVIEW,medium,"저장 정책과 안전 매칭 후보 불일치; 후보=거점형 야간보육, 핵심어=2개",정책 목적·대상·수단 수동 확인,보육·돌봄 인프라,어린이집·유치원,보육시설·유아교육,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201727
