제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL,출산양육관련여부,분류근거_키워드,분류신뢰도,수집방식,제외사유,대분류,중분류,소분류,보정필터_소스
PROP-202432,서울시 양육지원 서비스 이용대상 확대 및 종로구 백일·돌상 촬영공간 조성 건의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202432,2026-07-21,2026,0.0,0,N,종로구,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202432,직접관련,양육,상,기존 1차 직접키워드 수집,,정보·상담·교육·거버넌스,양육지원 서비스 접근성,신청·이용대상 기준 개선,신규추가7586_제목본문기준
PROP-202443,서울시 신혼부부 지원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202443,2026-07-21,2026,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202443,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-202418,임산부 스마트 배려 뱃지 도입 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202418,2026-07-19,2026,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202418,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-202344,유아숲체험원 운영 용역사업 평가 개선 건의문,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202344,2026-07-08,2026,1.0,0,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202344,조합관련,교육·프로그램: 체험 + 유아,중,2차 문맥조합 수집,,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,신규추가7586_제목본문기준
PROP-202234,"초등학생 저녁식사 지원 서비스(키움센터 활용, 사전 예약 기반, 일부 비용 지급)",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202234,2026-06-23,2026,1.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202234,직접관련,키움센터,상,기존 1차 직접키워드 수집,,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,신규추가7586_제목본문기준
PROP-202208,대중교통 임산부 배려석 뱃지 태그 시스템 도입,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202208,2026-06-19,2026,28.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202208,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-202145,임산부 배려 뱃지 배포,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202145,2026-06-10,2026,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202145,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-202127,서울시 신혼부부 이자지원 사업,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202127,2026-06-08,2026,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202127,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-202095,지하철 임산부석에 임산부 아닌 사람들이 앉지 못하도록 하는 공공 디자인 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202095,2026-06-04,2026,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202095,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-202066,신생아 특례대출 기간 늘려주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202066,2026-05-27,2026,1.0,0,N,미상,출산·산후 초기지원,산후조리·도우미,산후조리·산모 회복 지원,출산 직후,가족건강팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202066,직접관련,"신생아, 신생아 특례대출",상,기존 1차 직접키워드 수집,,출산·산후 초기지원,출산가구 초기지원,출산지원금·출생축하,신규추가7586_제목본문기준
