제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,대분류,중분류,소분류,분류근거_키워드,분류신뢰도,출산양육관련여부,수집키워드,수집방식,제외사유,웹크롤링_상세본문,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,크롤링상태,HTTP상태,크롤링오류,보정필터_소스,검토메모
PROP-202443,서울시 신혼부부 지원,서울시 신혼부부 지원,2026-07-21,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202443,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신혼부부,상,직접관련,신혼부부,기존 1차 직접키워드 수집,,서울시 신혼부부 지원,,,,,,,,,,,
PROP-202432,서울시 양육지원 서비스 이용대상 확대 및 종로구 백일·돌상 촬영공간 조성 건의,서울시 양육지원 서비스 이용대상 확대 및 종로구 백일·돌상 촬영공간 조성 건의,2026-07-21,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202432,정보·상담·교육·거버넌스,양육지원 서비스 접근성,신청·이용대상 기준 개선,양육,상,직접관련,양육,기존 1차 직접키워드 수집,,서울시 양육지원 서비스 이용대상 확대 및 종로구 백일·돌상 촬영공간 조성 건의,,,,,,,,,,,
PROP-202418,임산부 스마트 배려 뱃지 도입 제안,임산부 스마트 배려 뱃지 도입 제안,2026-07-19,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202418,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,임산부,상,직접관련,임산부,기존 1차 직접키워드 수집,,임산부 스마트 배려 뱃지 도입 제안,,,,,,,,,,,
PROP-202389,친환경 수열 에너지 및 빗물 순환 기술을 적용한 '[자양한강도서관] 유수지 복합 스포츠센터(아이스링크)' 건립 제안,친환경 수열 에너지 및 빗물 순환 기술을 적용한 '[자양한강도서관] 유수지 복합 스포츠센터(아이스링크)' 건립 제안,2026-07-15,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202389,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,공간·편의시설: 도서관 + 아이,중,조합관련,공간·편의시설: 도서관 + 아이,2차 문맥조합 수집,,"제안 배경:
관내 실내 빙상장 부족으로 인한 동호인 및 청소년 체육 환경 열악.
도심 기피 시설인 유수지 공간을 복개하여 주민 친화적 생활 SOC로 전환 필요.
기대 효과 (차별성):
부지 비용 '0원':
신규 토지 매입 없이 기존 시유지/구유지(유수지)를 활용해 수백억 원의 예산 절감.
친환경 에너지 모델:
빗물 정화수를 활용한 고품질 빙질 유지 및 하수/유수 수열 에너지를 이용한 냉동기 가동 (탄소중립 실현 및 운영비 혁신적 감축).",,,,,,,,,,,
PROP-202347,서울시 초등돌봄센터 일시돌봄 이용대상자 확대,서울시 초등돌봄센터 일시돌봄 이용대상자 확대,2026-07-09,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202347,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,초등돌봄,상,직접관련,초등돌봄,기존 1차 직접키워드 수집,,서울시 초등돌봄센터 일시돌봄 이용대상자 확대,,,,,,,,,,,
PROP-202344,유아숲체험원 운영 용역사업 평가 개선 건의문,유아숲체험원 운영 용역사업 평가 개선 건의문,2026-07-08,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202344,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,교육·프로그램: 체험 + 유아,중,조합관련,교육·프로그램: 체험 + 유아,2차 문맥조합 수집,,"“
유아숲체험원 운영 용역사업의 제안 평가는
영유아를 대상으로 하는
“
특정 대상
”
인 것 만큼
,
‘
잘 만든 제안서
’
가 아니라
,
영유아의 발달 특성과 안전을 실제 구현할 수 있는
열심하는 유아숲지도사의 숲 현장 노력과
전문성 중심
으로
재편되어야 합니다
.”",,,,,,,,,,,
PROP-202286,저출산 고령화 문제에 관한 제안,저출산 고령화 문제에 관한 제안,2026-06-29,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202286,출산·산후 초기지원,출산가구 초기지원,출산지원금·출생축하,출산,상,직접관련,출산,기존 1차 직접키워드 수집,,저출산 고령화 문제에 관한 제안,,,,,,,,,,,
PROP-202264,[BTF푸른나무재단] 아이들이 안전한 학교를 위한 학교폭력 예방 및 대응 정책 제안서 전달,[BTF푸른나무재단] 아이들이 안전한 학교를 위한 학교폭력 예방 및 대응 정책 제안서 전달,2026-06-26,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202264,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 아이,중,조합관련,아동_안전환경: 안전 + 아이,2차 문맥조합 수집,,"서울시장 당선인님께
안녕하십니까
.
BTF
푸른나무재단입니다
.
먼저 제
9
회 전국동시지방선거 지방자치단체장 당선을 진심으로 축하드립니다
.
BTF
푸른나무재단은
1995
년 학교폭력 피해로 아들을 잃은 아버지의 간절한 염원에서 시작되어
,
지난
30
년간 학교폭력 예방과 피해학생 치유
,
정책 제안과 사회변화 활동을 이어온 비영리공익법인입니다
.
지금 학교폭력은 다시 중요한 전환점에 놓여 있습니다
.
학교폭력의 저연령화
,
반복 피해
·
가해 증가
,
도움요청 감소
,
침묵과 방관의 확대는 학교가 아이들에게 충분히 안전한 공간인지 다시 묻게 하고 있습니다
.
학교폭력 대응은 더 이상 사건 발생 이후의 처리에만 머물 수 없습니다
.
예방
,
조기 발견
,
피해학생 보호와 회복
,
가해학생의 책임 있는 변화
,
학교와 지역사회의 연계가 함께 작동해야 합니다
.
이에
BTF
푸른나무재단은 당선인님의 취임 이후
지역사회에서
학교폭력 예방 및 대응 과제가 주요하게 반영될 수 있도록
「
제
9
회 지방선거 지방자치단체장 당선인에게 전하는 학교폭력 예방 및 대응 정책 제안서
」
를 전달드립니다
.
이번 제안서에는 다음의
3
대 정책 방향을 담았습니다
.
<
지방자치단체장 후보자께 제안드리는
3
대 공약
>
1.
학교폭력 대응이 작동하는 지역 책임체계를 마련해야 합니다
.
2.
아동
·
청소년의 마음건강을 위한 지역 인프라를 확충해야 합니다
.
3.
학교폭력이 지역사회 갈등의 씨앗이 되지 않도록 예방해야 합니다
.
아이들이 안심하고 배우며 성장할 수 있는 학교를 만드는 일은 더 이상 미룰 수 없는 과제입니다
.
당선인님께서 속한
지역사회 내에서 학교폭력 예방
·
대응 체계가 보다 구체적이고 지속 가능한 정책으로 이어질 수 있도록 깊은 관심과 검토를 부탁드립니다
.
첨부드리는 정책 제안서를 확인해 주시고 적극적 검토를 부탁드립니다
.
감사합니다
.
BTF
푸른나무재단 드림
붙임
. [BTF
푸른나무재단
]
제
9
회 전국동시지방선거 지방자치단체장 당선인에게 전하는 학교폭력 예방 및 대응 정책 제안서
1
부
.
끝
.
BTF
푸른나무재단 홈페이지
: https://btf.or.kr/
BTF
푸른나무재단 설립 스토리
: https://youtu.be/hdrJ5OaeUFY?si=vT_-efrAbET6hhnH
☎
BTF
푸른나무재단 학교폭력문제연구소
) 02-598-1640",,,,,,,,,,,
PROP-202259,청년 주거안정 및 다자녀 가구 주거이동 지원을 위한 소규모 오피스텔 공공매입 제도 개선 건의,청년 주거안정 및 다자녀 가구 주거이동 지원을 위한 소규모 오피스텔 공공매입 제도 개선 건의,2026-06-25,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202259,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,다자녀,상,직접관련,다자녀,기존 1차 직접키워드 수집,,청년 주거안정 및 다자녀 가구 주거이동 지원을 위한 소규모 오피스텔 공공매입 제도 개선 건의,,,,,,,,,,,
PROP-202234,"초등학생 저녁식사 지원 서비스(키움센터 활용, 사전 예약 기반, 일부 비용 지급)","초등학생 저녁식사 지원 서비스(키움센터 활용, 사전 예약 기반, 일부 비용 지급)",2026-06-23,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202234,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,키움센터,상,직접관련,키움센터,기존 1차 직접키워드 수집,,"초등학생 저녁식사 지원 서비스(키움센터 활용, 사전 예약 기반, 일부 비용 지급)",,,,,,,,,,,
