petiNo,title,regDate,statusName,statusCode,ancName,source
1AB-2507-0018793,대한민국 출산율을 높이기 위한 현실적 지..,2025.07.30. 10:46:00,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2508-0009282,"군무원 다자녀 인사우대 기준, 4자녀에서..",2025.08.14. 09:56:09,답변완료,10010004,국방부,국민신문고
1AB-2508-0018624,"&quot;아이 낳은 날, 부모도 함께 ..",2025.08.30. 08:48:34,답변완료,10010004,성평등가족부,국민신문고
1AB-2509-0002598,「결혼출산육아기 근로자 통합보호를 위..,2025.09.04. 10:08:00,제안심사,10010002,고용노동부,국민신문고
1AB-2509-0007775,다자녀 특별공급 출산특례 지원 조건에 대..,2025.09.12. 17:22:35,제안심사,10010002,국토교통부,국민신문고
1AB-2509-0011685, 정책: 엄마에게 월급을 주어 세계 최저..,2025.09.19. 03:13:39,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2511-0003560,난임 지원 확대를 통한 저출산 해결 방안,2025.11.04. 11:58:55,답변완료,10010004,보건복지부,국민신문고
1AB-2511-0004994,결혼과 출산을 장려하는 방송을 많이 만들..,2025.11.06. 22:46:47,제안심사,10010002,보건복지부,국민신문고
1AB-2511-0005628,공병회수를 통한 저출산해결 제안,2025.11.08. 16:34:29,답변완료,10010004,경상북도 경산시,국민신문고
1AB-2511-0005635,"4대보험&#x28;국민연금, 건강보험, ..",2025.11.08. 16:49:13,답변완료,10010004,보건복지부,국민신문고
1AB-2511-0010494,공무원 등 자녀 출산시 1호봉 승급 제안,2025.11.19. 10:36:43,답변완료,10010004,인사혁신처,국민신문고
1AB-2512-0018485,배우자 육아휴직 및 출산휴가에 대해 개선..,2025.12.09. 17:52:57,답변완료,10010004,고용노동부,국민신문고
1AB-2512-0023861,결혼과 출산에 관한 의견,2025.12.22. 13:57:37,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2512-0026827,공교육 정상화&#x28;~고등학교 졸업&..,2025.12.31. 00:45:13,답변완료,10010004,교육부,국민신문고
1AB-2601-0002831,「저출산 대응을 위한 난임 시술 차수 제..,2026.01.09. 01:36:51,답변완료,10010004,보건복지부,국민신문고
1AB-2601-0003010,가평군 홈페이지 &apos;여성장애인 출..,2026.01.09. 14:52:47,답변완료,10010004,경기도 가평군,국민신문고
1AB-2601-0003287,남해군 누리집 인구시책지원정보 &apos..,2026.01.10. 01:49:22,제안실현,10010004,경상남도 남해군,국민신문고
1AB-2601-0004467,노후연금과 연계한 출산율 증대방안,2026.01.13. 09:34:19,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2601-0007229,「결혼출산이 경력의 끝이 되지 않는 사..,2026.01.20. 13:14:36,제안심사,10010002,고용노동부,국민신문고
1AB-2601-0007422,대한민국 결혼율 출산율 개선 방안&#x2..,2026.01.20. 20:08:43,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2601-0008000,군인 전출 예정에 따른 출산지원금 거주요..,2026.01.21. 17:56:46,답변완료,10010004,보건복지부,국민신문고
1AB-2601-0008125,강원특별자치도청 누리집의 &apos;여성..,2026.01.22. 03:05:59,답변완료,10010004,강원특별자치도,국민신문고
1AB-2601-0009183,&#x28;저출산_양육&#x29;돌봄기관..,2026.01.24. 01:40:53,답변완료,10010004,교육부,국민신문고
1AB-2601-0009804,공공 베이비시터 기관 설립을 통한 저출산..,2026.01.25. 19:48:42,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2601-0010548,군대에서 저출산으로 벙력수가 점점 줄어드..,2026.01.27. 09:26:53,답변완료,10010004,국방부,국민신문고
1AB-2602-0004132,경기광주시 출산육아 복지 정책 관련 시..,2026.02.10. 13:27:54,답변완료,10010004,경기도 광주시,국민신문고
1AB-2602-0005194, 출산 휴직에 따른 불이익 개선 제안,2026.02.13. 10:54:31,답변완료,10010004,인사혁신처,국민신문고
1AB-2602-0009406,"0.72 저출산과 부동산 폭등, 진짜 범..",2026.02.24. 23:08:53,답변완료,10010002,인사혁신처,국민신문고
1AB-2603-0006326,"대구 네쌍둥이 가정의 다섯째 출산 소식,..",2026.03.15. 12:05:38,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2603-0006721,미등록 외국인 출산지원 정책 바랍니다.,2026.03.16. 13:31:33,답변완료,10010004,보건복지부,국민신문고
1AB-2603-0008960,[저출산고령사회위원회 이송 요청건] 생애..,2026.03.21. 03:51:31,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2603-0010541,다자녀 가구 장학금 지원 확대 제안: 저..,2026.03.24. 16:30:43,답변완료,10010004,교육부,국민신문고
1AB-2604-0002487,군산시 결혼정착금출산지원금 지역 간 격..,2026.04.07. 15:41:32,제안심사,10010002,전북특별자치도 군산시,국민신문고
1AB-2604-0005105,결혼식장 및 결혼 비용 지원을 통한 출산..,2026.04.12. 17:24:53,답변완료,10010004,성평등가족부,국민신문고
1AB-2604-0006257,[저출산 극복] 파편화된 지자체 다자녀 ..,2026.04.14. 15:48:50,답변완료,10010004,보건복지부,국민신문고
1AB-2604-0006259,[저출산 극복] 전국 공공체육시설&#x2..,2026.04.14. 15:50:27,답변완료,10010004,문화체육관광부,국민신문고
1AB-2604-0008735,국공립어린이집 위탁원장의 출산휴가 인건비..,2026.04.20. 11:52:51,답변완료,10010004,고용노동부,국민신문고
1AB-2604-0008984,공무원 성과급제 폐지 및 자녀 가족수당 ..,2026.04.20. 17:11:50,답변완료,10010004,인사혁신처,국민신문고
1AB-2604-0010303,기혼 암 환자의 실질적 출산권 보장을 위..,2026.04.22. 17:13:12,답변완료,10010004,보건복지부,국민신문고
1AB-2605-0004731,AI 기반 출산육아돌봄 통합지원 플..,2026.05.13. 10:43:59,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2606-0005515,교육비 부담을 줄여 출산율 높이기,2026.06.10. 21:00:01,제안심사,10010002,교육부,국민신문고
1AB-2606-0006455,5인 이상 직장 내 탁아소 등 설치 의무..,2026.06.12. 14:24:26,답변완료,10010004,교육부,국민신문고
1AB-2606-0008852,[저출생 대책 보완] 출산가구 특별공급 ..,2026.06.18. 11:24:22,제안심사,10010002,재정경제부,국민신문고
1AB-2607-0003236,[저출산 정책 방향 및 저출산 해결 방안],2026.07.08. 17:57:47,제안심사,10010002,저출산고령사회위원회,국민신문고
1AB-2607-0006218,&#x28;저출산 극복&#x29;다원화된..,2026.07.14. 16:52:16,제안심사,10010002,보건복지부,국민신문고
1AB-2607-0008642,국가 책임형 임신출산 원스톱 안전관리 ..,2026.07.19. 08:14:17,제안심사,10010002,보건복지부,국민신문고
1AB-2507-0017095,저출산 관련 제안 드립니다,2025.07.27. 01:32:50,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2507-0018795,이재명 대통령만 할수있는 저출산대책 입니..,2025.07.30. 10:34:26,답변완료,10010002,저출산고령사회위원회,국민신문고
1AB-2508-0002321,저출산 극복을 위한 자녀 성별 선택권&#..,2025.08.05. 08:32:48,답변완료,10010004,보건복지부,국민신문고
1AB-2508-0002474,부천시 현실에 맞는 출산지원금 지급&#x..,2025.08.05. 12:28:28,답변완료,10010004,경기도 부천시,국민신문고
1AB-2508-0005546,장기요양기관 근로자 겸 대표에게 &quo..,2025.08.09. 06:20:59,제안심사,10010002,보건복지부,국민신문고
1AB-2508-0009519,저출산 시대의 난임불임 시술 비용 부담..,2025.08.14. 13:54:23,답변완료,10010004,보건복지부,국민신문고
1AB-2508-0009733,인구유지지수&#x28;1.0 기준&#x2..,2025.08.14. 16:42:45,제안심사,10010002,저출산고령사회위원회,국민신문고
1AB-2508-0013776,부모교육 연계형 출산양육 인센티브 제도,2025.08.22. 04:35:31,답변완료,10010004,교육부,국민신문고
1AB-2508-0016675,부천시 임신출산 사전 건강관리 지원사업..,2025.08.27. 10:20:31,답변완료,10010004,경기도 부천시,국민신문고
1AB-2509-0005843,저출산 대응을 위한 퇴직금 중간정산 사유..,2025.09.09. 16:40:45,답변완료,10010004,고용노동부,국민신문고
1AB-2509-0010260,안성 출산장려금&#x28;첫째아이상으로&..,2025.09.17. 06:34:00,제안심사,10010002,경기도 안성시,국민신문고
1AB-2509-0011863,예천 저출산 문제 해결 방안 제안,2025.09.19. 10:51:03,답변완료,10010004,경상북도 예천군,국민신문고
1AB-2509-0014928,신혼희망타운에 혼인특례 적용 및 출산특례..,2025.09.24. 14:05:09,제안심사,10010002,국토교통부,국민신문고
1AB-2511-0011916,저출산 극복을 위한 기본생계비 및 기본교..,2025.11.22. 06:59:55,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2511-0013854,저출산 문제 대하여,2025.11.27. 07:52:56,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2512-0021837,저출산 문제에 대한 개인적인 의견 제시 ..,2025.12.17. 16:55:21,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2512-0024976,저출산 시대의 학교 유휴공간 활용을 위한..,2025.12.25. 16:22:06,답변완료,10010004,교육부,국민신문고
1AB-2601-0000488,"저출산 시대, 다자녀 가구 지원정책의 &..",2026.01.02. 15:44:46,제안심사,10010002,국토교통부,국민신문고
1AB-2601-0002889,저출산 방안에 관한 제안,2026.01.09. 10:25:42,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2601-0003980,저출산 문제에 대한 정책의 방향성 수정이..,2026.01.12. 01:23:33,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2601-0004459,저출산 대책 제안,2026.01.13. 09:26:52,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2601-0006027,서울시 임신 출산 정보센터 누리집의 &a..,2026.01.17. 01:04:29,답변완료,10010004,서울특별시,국민신문고
1AB-2601-0008151,의정부시 누리집에서 여성장애인 출산지원금..,2026.01.22. 05:57:50,답변완료,10010004,경기도 의정부시,국민신문고
1AB-2602-0003086,저출산 극복을 위한 태아 유전자 검사&..,2026.02.07. 21:31:26,제안심사,10010002,보건복지부,국민신문고
1AB-2602-0004394,인구 소멸 위기 대응 : 출산율 0.7명..,2026.02.11. 03:42:07,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2603-0000275,우리나라 1960년 합계 출산율 6명 지..,2026.03.01. 17:45:04,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2603-0002234,저출산 문제 해결을 위한 만남 단계 ..,2026.03.05. 17:34:16,답변완료,10010004,저출산고령사회위원회,국민신문고
1AB-2603-0006393,저출산 시대에 역행하는 주택도시기금 전..,2026.03.15. 14:36:05,제안심사,10010002,국토교통부,국민신문고
1AB-2603-0008919,산모의 의학적 회복 기간&#x28;제왕절..,2026.03.20. 23:15:26,답변완료,10010004,교육부,국민신문고
1AB-2603-0010185,"영천시,지자체 간 기준 차이로 발생한 출..",2026.03.24. 10:59:31,답변완료,10010004,경상북도 영천시,국민신문고
1AB-2604-0004755,저출산 시대 교습소 운영 규제 개선 요청,2026.04.11. 20:46:41,제안심사,10010002,교육부,국민신문고
1AB-2604-0010035,신혼부부 자산형성 지원을 통한 혼인신고 ..,2026.04.22. 10:08:16,제안심사,10010002,금융위원회,국민신문고
1AB-2605-0002859,"저출산 시대, 가임기 여성 건강 관리 강..",2026.05.08. 17:18:16,답변완료,10010004,보건복지부,국민신문고
1AB-2605-0003708,자본시장 국부 유출 방지 및 저출산 극복..,2026.05.11. 12:35:01,제안심사,10010002,재정경제부,국민신문고
1AB-2605-0003725,저출산 시대 병력 확보 및 청년 일자리 ..,2026.05.11. 13:13:50,답변완료,10010004,국방부,국민신문고
1AB-2605-0009007,육아휴직 및 출산휴가 사용시 사업주에 대..,2026.05.21. 08:38:23,제안심사,10010002,고용노동부,국민신문고
1AB-2605-0009746,영천시지자체 간 기준 차이로 발생한 출산..,2026.05.22. 13:53:49,답변완료,10010004,경상북도 영천시,국민신문고
1AB-2605-0011775,신설 광주강진고속도로의 월출산휴게소에 고..,2026.05.27. 09:15:39,제안심사,10010002,국토교통부,국민신문고
1AB-2606-0004197,인구 감소 지역 출산수상 인상과 조부모 ..,2026.06.08. 16:47:52,답변완료,10010004,전북특별자치도 정읍시,국민신문고
