SN,TITLE,CONTENT,VOTE_SCORE,REG_DATE,VISIOIN_TXT,USER_COMMENT_CNT,VOTE_CNT,VOTE_DIS_CNT,REPLY_YN
202286.0,저출산 고령화 문제에 관한 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202286,0.0,2026-06-29 17:43:58.0,여성,0,0,0,N
202259.0,청년 주거안정 및 다자녀 가구 주거이동 지원을 위한 소규모 오피스텔 공공매입 제도 개선 건의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202259,0.0,2026-06-25 14:34:28.0,주택,0,0,0,N
202224.0,서울형 키즈카페의 행정 편의주의적 운영 규정 개선 및 다자녀 가구 역차별 해소 촉구,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202224,0.0,2026-06-20 15:04:14.0,여성,0,0,0,N
202117.0,타 지자체 거주 다자녀 가구의 공영주차장 이용 감면 및 주차난 해소를 위한 정책 개선을 건의합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202117,0.0,2026-06-07 11:49:01.0,교통,0,0,0,N
201815.0,저출산 대책 역행하는 서울시 '난자동결 시술비 지원' 기준 강화(AMH 1.5 이하) 철회 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201815,2.0,2026-04-09 09:52:33.0,건강,0,2,0,N
201727.0,[시민규제발굴단] 자치구별 야간 보육 거점 기관 지정 의무화 및 접근성 강화,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201727,0.0,2026-03-29 18:55:24.0,여성,0,0,1,N
201726.0,[시민규제발굴단] 주말 특별보육 운영 시 행정 부담 완화로 보육 접근성 제고,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201726,0.0,2026-03-29 18:46:38.0,여성,0,0,0,N
201705.0,시간제보육 사전 예약없이 이용할 수 있게 해주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201705,0.0,2026-03-25 10:38:00.0,여성,0,0,0,N
201656.0,"[시민규제발굴단] 서울시 보육 격차 해소 : 거주지 벽을 넘는 ""보편적 보육 복지"" 실현을 위한 규제 혁신안",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201656,0.0,2026-03-15 22:55:45.0,여성,0,0,0,N
201636.0,출산 가정 태극기 제공(신혼 부부 태극기 미수혜 가정 보완 + 국기 선양 연계),https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201636,11.0,2026-03-12 11:24:15.0,여성,2,11,1,N
