제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,필터근거_키워드,팀_검증_대분류,팀_검증_중분류,팀_검증_소분류,팀_검증_의견
PROP-202180,아이들의 웃음에는 격차가 없어야 합니다「서울형 해치와 프렌즈 순환형 테마놀이터 조성」,아이들의 웃음에는 격차가 없어야 합니다「서울형 해치와 프렌즈 순환형 테마놀이터 조성」,2026-06-15,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202180,2차 조합 조건 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),,,,
PROP-202113,영유아쉼터나 유아휴게실,영유아쉼터나 유아휴게실,2026-06-05,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202113,1차 직접 키워드 (영유아),,,,
PROP-201438,자녀6명 이상인 가정은 총재산이 15억 이하이면 교육급여 대상자로 선정해주세요.,자녀6명 이상인 가정은 총재산이 15억 이하이면 교육급여 대상자로 선정해주세요.,2026-01-30,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201438,2차 조합 조건 (교육|학습|강좌+유아|초등돌봄|자녀|부모교육|아빠교육),,,,
PROP-201435,？？ [정책 제안] 빛의 자녀(개척자)들을 위한 ‘자존감 및 사회화 통합 교육’ 신설,？？ [정책 제안] 빛의 자녀(개척자)들을 위한 ‘자존감 및 사회화 통합 교육’ 신설,2026-01-30,2026,1.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201435,2차 조합 조건 (교육|학습|강좌+유아|초등돌봄|자녀|부모교육|아빠교육),,,,
PROP-201314,마장 한전물류센터 특별계획구역 내 “성동구립마장도서관 및 서울형키즈까페를 포함하는 복합문화시설” 설치 필요성 및 요청,마장 한전물류센터 특별계획구역 내 “성동구립마장도서관 및 서울형키즈까페를 포함하는 복합문화시설” 설치 필요성 및 요청,2026-01-19,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201314,2차 조합 조건 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),,,,
PROP-200427,경춘선 숲길에 아이들을 위한 미니 기차 놀이 시설을 설치해주세요,경춘선 숲길에 아이들을 위한 미니 기차 놀이 시설을 설치해주세요,2025-09-18,2025,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200427,2차 조합 조건 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),,,,
PROP-199938,"공영주차장 다둥이카드, 직원들이 잘 모르네요","공영주차장 다둥이카드, 직원들이 잘 모르네요",2025-07-09,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199938,1차 직접 키워드 (다둥이),,,,
PROP-199715,고덕 2동 성당 옆 아이들 놀이터,고덕 2동 성당 옆 아이들 놀이터,2025-06-06,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199715,2차 조합 조건 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),,,,
PROP-199629,유아차런 유아 참여 연령 상향,유아차런 유아 참여 연령 상향,2025-05-27,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199629,1차 직접 키워드 (유아차),,,,
PROP-199451,봉사활동을 통한 아이들의 성실성과 자발성 함양을 위한 부모교육 제안서,봉사활동을 통한 아이들의 성실성과 자발성 함양을 위한 부모교육 제안서,2025-04-28,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199451,2차 조합 조건 (교육|학습|강좌+유아|초등돌봄|자녀|부모교육|아빠교육),,,,
PROP-199348,"마루공원에 유아용 농구코트, 축구코트 설치","마루공원에 유아용 농구코트, 축구코트 설치",2025-04-16,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199348,2차 조합 조건 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),,,,
PROP-198621,다둥이 단축 근무시간 시행부탁합니다,다둥이 단축 근무시간 시행부탁합니다,2025-03-10,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198621,1차 직접 키워드 (다둥이),,,,
PROP-198620,다둥이 워킹맘 근무시간단축해주세요,다둥이 워킹맘 근무시간단축해주세요,2025-03-10,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198620,1차 직접 키워드 (다둥이),,,,
PROP-198619,다둥이 워킹맘 근무단축제 및 보조금 지급제,다둥이 워킹맘 근무단축제 및 보조금 지급제,2025-03-10,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198619,1차 직접 키워드 (다둥이),,,,
PROP-198618,다둥이 워킹맘 근무단축제 시행,다둥이 워킹맘 근무단축제 시행,2025-03-10,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198618,1차 직접 키워드 (다둥이),,,,
PROP-198591,뉴행복다둥이카드,뉴행복다둥이카드,2025-03-09,2025,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198591,1차 직접 키워드 (다둥이),,,,
PROP-198575,서울 자영업자에게 다둥이 행복카드를!,서울 자영업자에게 다둥이 행복카드를!,2025-03-08,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198575,1차 직접 키워드 (다둥이),,,,
PROP-198270,기후동행카드 다둥이할인 적용제안,기후동행카드 다둥이할인 적용제안,2025-02-20,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198270,1차 직접 키워드 (다둥이),,,,
PROP-197910,다둥이 등 서울런 대상자 대폭 확대,다둥이 등 서울런 대상자 대폭 확대,2025-02-04,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197910,1차 직접 키워드 (다둥이),,,,
PROP-197288,서울시 내 다둥이카드 사용 요건을 통일해 주세요.,서울시 내 다둥이카드 사용 요건을 통일해 주세요.,2024-10-18,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197288,1차 직접 키워드 (다둥이),,,,
PROP-196732,서울시에서 홍보한 교량호텔 인원제한포함 숙박시설 다둥이 인원제한관련 의견,서울시에서 홍보한 교량호텔 인원제한포함 숙박시설 다둥이 인원제한관련 의견,2024-07-27,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196732,1차 직접 키워드 (다둥이),,,,
PROP-196500,서울달 다둥이할인도 추가 부탁드려요,서울달 다둥이할인도 추가 부탁드려요,2024-07-01,2024,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196500,1차 직접 키워드 (다둥이),,,,
PROP-195811,다둥이 카드 사용기간 연장,다둥이 카드 사용기간 연장,2024-04-02,2024,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195811,1차 직접 키워드 (다둥이),,,,
