제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,대분류,중분류,소분류,분류근거_키워드,분류신뢰도,출산양육관련여부,수집키워드,수집방식,제외사유
PROP-202389,친환경 수열 에너지 및 빗물 순환 기술을 적용한 '[자양한강도서관] 유수지 복합 스포츠센터(아이스링크)' 건립 제안,친환경 수열 에너지 및 빗물 순환 기술을 적용한 '[자양한강도서관] 유수지 복합 스포츠센터(아이스링크)' 건립 제안,2026-07-15,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202389,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,공간·편의시설: 도서관 + 아이,중,조합관련,공간·편의시설: 도서관 + 아이,2차 문맥조합 수집,
PROP-202344,유아숲체험원 운영 용역사업 평가 개선 건의문,유아숲체험원 운영 용역사업 평가 개선 건의문,2026-07-08,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202344,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,교육·프로그램: 체험 + 유아,중,조합관련,교육·프로그램: 체험 + 유아,2차 문맥조합 수집,
PROP-202264,[BTF푸른나무재단] 아이들이 안전한 학교를 위한 학교폭력 예방 및 대응 정책 제안서 전달,[BTF푸른나무재단] 아이들이 안전한 학교를 위한 학교폭력 예방 및 대응 정책 제안서 전달,2026-06-26,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202264,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 아이,중,조합관련,아동_안전환경: 안전 + 아이,2차 문맥조합 수집,
PROP-202191,지역아동센터앞 교통안전을 위해서 붉은색으로 도로 안전구역 표시 부탁드립니다.,지역아동센터앞 교통안전을 위해서 붉은색으로 도로 안전구역 표시 부탁드립니다.,2026-06-17,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202191,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 아동,중,조합관련,아동_안전환경: 안전 + 아동,2차 문맥조합 수집,
PROP-201995,어린이 보호구역내 인도의 표지판 기둥 하단 밝은 스티커 부착 제안,어린이 보호구역내 인도의 표지판 기둥 하단 밝은 스티커 부착 제안,2026-05-15,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201995,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-201853,강남구보건소 예방접종 프로그램을  다른구 보건소에서 진행하게 해주세요,강남구보건소 예방접종 프로그램을  다른구 보건소에서 진행하게 해주세요,2026-04-17,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201853,보육·돌봄 인프라,아동 건강·의료 접근성,소아응급·야간진료·영유아검진,예방접종,상,직접관련,예방접종,확장 1차 생활키워드 수집,
PROP-201849,"아이들이 넘어지고 차가 부서지는 ""턱"" 대신, 기술이 있는 ""안전한 평면도로""를 제안합니다.","아이들이 넘어지고 차가 부서지는 ""턱"" 대신, 기술이 있는 ""안전한 평면도로""를 제안합니다.",2026-04-15,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201849,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 아이,중,조합관련,아동_안전환경: 안전 + 아이,2차 문맥조합 수집,
PROP-201626,어린이 보호구역 차량단속,어린이 보호구역 차량단속,2026-03-11,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201626,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-201610,[시민규제발굴단] 남자화장실에도 기저귀갈이대가 필요합니다.,[시민규제발굴단] 남자화장실에도 기저귀갈이대가 필요합니다.,2026-03-08,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201610,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,"기저귀갈이대, 기저귀",상,직접관련,기저귀갈이대,확장 1차 생활키워드 수집,
PROP-201599,서울형키즈카페 연령제한 형제자매 제한없이 들어갈수있게해주세요,서울형키즈카페 연령제한 형제자매 제한없이 들어갈수있게해주세요,2026-03-06,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201599,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,
PROP-201543,[시민규제발굴단] 초등 긴급·일시돌봄 ‘사전등록제’ 폐지 또는 간소화,[시민규제발굴단] 초등 긴급·일시돌봄 ‘사전등록제’ 폐지 또는 간소화,2026-02-20,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201543,보육·돌봄 인프라,가족돌봄,아이돌봄·조부모돌봄,일시돌봄,상,직접관련,일시돌봄,확장 1차 생활키워드 수집,
