제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL
PROP-202444,서울 로컬 둘레길 브랜드를 개발해서 보행길 개선 및 지역 상권 활성화를 도모했으면 좋겠습니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202444,2026-07-21,2026,0.0,0,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202444
PROP-202436,노을공원을 파크골프 테마파크로!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202436,2026-07-21,2026,0.0,0,N,미상,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202436
PROP-202428,「어르신이 꼭 알아야 할 복지정보 TOP 60」 안내자료 제작·배포,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202428,2026-07-21,2026,0.0,0,N,미상,정보·상담·교육·거버넌스,정보 통합·앱·플랫폼,정보 통합 플랫폼·앱,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202428
PROP-202431,러닝 커뮤니티 활용한 소외 지역 인구 유입 및 환경 개선책,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202431,2026-07-21,2026,0.0,0,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202431
PROP-202432,서울시 양육지원 서비스 이용대상 확대 및 종로구 백일·돌상 촬영공간 조성 건의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202432,2026-07-21,2026,0.0,0,N,종로구,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202432
PROP-202433,역세권청년안심주택 기한연장에대한 건의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202433,2026-07-21,2026,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202433
PROP-202434,버스전용차로 개선 제안 (서울해군호텔앞 4거리),https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202434,2026-07-21,2026,0.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202434
PROP-202443,서울시 신혼부부 지원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202443,2026-07-21,2026,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202443
PROP-202437,[시민규제발굴단] 자영업자 고용보험 가입 유인 강화 및 절차 간소화,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202437,2026-07-21,2026,0.0,0,N,미상,일·가정 양립·부모 노동,자영업·프리랜서·야간근무,자영업·프리랜서 돌봄,부모 노동·돌봄 병행,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202437
PROP-202441,[시민규제발굴단] 전통시장 신규 업종 입점 절차 간소화 및 업종 다양화 유도,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202441,2026-07-21,2026,0.0,0,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202441
PROP-202442,[시민규제발굴단] 소상공인 대상 노무 규정 변경 자동 안내 시스템 구축,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202442,2026-07-21,2026,0.0,0,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202442
