pdf_page,table_index,table_title,unit,rows,columns,numeric_cells,file
1,1,인구동향조사,,3,3,3,tables/page_01_table_01.csv
2,1,일 러 두 기,,18,5,7,tables/page_02_table_01.csv
3,1,목 차,,22,4,45,tables/page_03_table_01.csv
5,1,출생아 수 및 합계출산율,,53,16,135,tables/page_05_table_01.csv
6,1,출생아 수는 25만 4천 5백 명으로 전년대비 1만 6천 1백 명(6.8%) 증가,,13,6,32,tables/page_06_table_01.csv
7,1,사망자 수는 36만 3천 4백 명으로 전년대비 4천 8백 명(1.3%) 증가,,13,6,22,tables/page_07_table_01.csv
8,1,"1. 출생아 수, 조(粗)출생률 및 합계출산율","천 명, %, 인구 1천 명당 명, 가임 여자 1명당 명",19,11,93,tables/page_08_table_01.csv
9,1,2. 모(母)의 연령별 출산율,"가임 여자 1명당 명, 해당 연령 여자인구 1천 명당 명, %",22,12,123,tables/page_09_table_01.csv
10,1,3. 모(母)의 평균 출산연령,"세, 천 명, %, %p",34,13,190,tables/page_10_table_01.csv
11,1,4. 출산 순위별 출생,"천 명, %",26,14,169,tables/page_11_table_01.csv
12,1,5. 결혼생활 기간*별 출생,"천 명, %",28,15,178,tables/page_12_table_01.csv
13,1,6. 출생성비,"천 명, 여아 1백 명당 남아 수",22,9,89,tables/page_13_table_01.csv
14,1,7. 월별 출생,"천 명, %",19,15,148,tables/page_14_table_01.csv
15,1,참고 OECD 국가 합계출산율 및 출산연령 비교,"가임 여자 1명당 명, 세",23,12,88,tables/page_15_table_01.csv
16,1,8. 시도별 출생,"천 명, %, 가임 여자 1명당 명, 인구 1천 명당 명",31,11,207,tables/page_16_table_01.csv
18,1,1. 사망자 수 및 조(粗)사망률,"천 명, %, 인구 1천 명당 명",14,10,72,tables/page_18_table_01.csv
19,1,2. 성·연령별 사망,"천 명, %",22,14,185,tables/page_19_table_01.csv
20,1,"증가하였고, 여자의 사망률은 6.6명으로 전년보다 1.8% 증가함","인구 1천 명당 명, %",26,15,211,tables/page_20_table_01.csv
21,1,3. 사망 장소,"%, %p",27,14,130,tables/page_21_table_01.csv
22,1,4. 월별 사망,"천 명, %",22,13,144,tables/page_22_table_01.csv
23,1,5. 시도별 사망,"천 명, %, 인구 1천 명당 명, 표준인구 1천 명당 명",32,9,175,tables/page_23_table_01.csv
25,1,1. 자연증가,"천 명, 인구 1천 명당 명",13,12,90,tables/page_25_table_01.csv
26,1,2. 시도별 자연증가,"천 명, 인구 1천 명당 명",27,7,112,tables/page_26_table_01.csv
27,1,통 계 표,,16,6,61,tables/page_27_table_01.csv
29,1,"1. 출생․사망 총괄, 1981-2025p","명, 인구 1천 명당 명",47,7,316,tables/page_29_table_01.csv
30,1,"2. 출생아 수, 조(粗)출생률 및 합계출산율, 1981-2025p","명, %, 인구 1천 명당 명, 가임여자 1명당 명",49,8,362,tables/page_30_table_01.csv
31,1,"3. 모(母)의 연령별 출생아 수, 1981-2025p",명,47,9,412,tables/page_31_table_01.csv
32,1,"4. 모(母)의 연령별 출생 비중*, 1981-2025p",%,48,8,369,tables/page_32_table_01.csv
33,1,"5. 출산 순위별 출생아 수 및 비중, 1981-2025p","명, %",49,8,361,tables/page_33_table_01.csv
34,1,"6. 결혼생활 기간별 출생아 수 및 비중, 1981-2025p","명, %",48,8,366,tables/page_34_table_01.csv
35,1,"7. 시도별 출생아 수, 2015-2025p",명,30,10,224,tables/page_35_table_01.csv
36,1,"8. 시도별 조출생률, 2015-2025p",인구 1천 명당 명,27,12,223,tables/page_36_table_01.csv
37,1,"9. 시도별 합계출산율, 2015-2025p",해당 시도 가임 여자 1명당 명,27,10,222,tables/page_37_table_01.csv
38,1,"10. 시군구별 출생아 수 및 합계출산율, 2025p",,51,11,284,tables/page_38_table_01.csv
39,1,출생아 수 합계 출생아 수 합계 출생아 수 합계,,50,12,282,tables/page_39_table_01.csv
40,1,"11. 사망자 수, 조(粗)사망률, 1983-2025p","명, %, 인구 1천 명당 명",47,6,258,tables/page_40_table_01.csv
41,1,"12. 성ㆍ연령별 사망자 수, 1983-2025p",천 명,43,12,516,tables/page_41_table_01.csv
42,1,□ 남 자,천 명,46,12,526,tables/page_42_table_01.csv
43,1,□ 여 자,천 명,46,12,526,tables/page_43_table_01.csv
44,1,"13. 성ㆍ연령별 사망률, 1983-2025p",인구 1천 명당 명,48,11,484,tables/page_44_table_01.csv
45,1,□ 남 자,인구 1천 명당 명,46,12,527,tables/page_45_table_01.csv
46,1,□ 여 자,인구 1천 명당 명,47,12,527,tables/page_46_table_01.csv
47,1,"14. 시도별 사망자 수, 2015-2025p",명,27,10,220,tables/page_47_table_01.csv
48,1,"15. 시도별 조사망률, 2015-2025p",인구 1천 명당 명,27,12,223,tables/page_48_table_01.csv
49,1,"16. 시도별 자연증가, 2015-2025p",명,27,10,220,tables/page_49_table_01.csv
50,1,부록 2025년 출생 ․ 사망통계 잠정 결과 집계 개요,,21,6,10,tables/page_50_table_01.csv
51,1,□ 향후 계획,,24,8,28,tables/page_51_table_01.csv
