제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL,우리기준_대분류,우리기준_중분류,우리기준_소분류,출산양육_관련도,필터근거_키워드,분류근거_키워드,분류신뢰도
PROP-202432,서울시 양육지원 서비스 이용대상 확대 및 종로구 백일·돌상 촬영공간 조성 건의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202432,2026-07-21,2026,0.0,0,N,종로구,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202432,정보·상담·교육·거버넌스,정보 통합·앱·플랫폼,출산양육 정보 통합 플랫폼,출산양육 후보,"양육, 양육지원",양육지원 서비스,중
PROP-202443,서울시 신혼부부 지원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202443,2026-07-21,2026,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202443,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-202418,임산부 스마트 배려 뱃지 도입 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202418,2026-07-19,2026,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202418,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 뱃지",상
PROP-202342,서울형 신혼주택,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202342,2026-07-07,2026,1.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202342,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,신혼,"신혼, 신혼주택, 주택",상
PROP-202234,"초등학생 저녁식사 지원 서비스(키움센터 활용, 사전 예약 기반, 일부 비용 지급)",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202234,2026-06-23,2026,1.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202234,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,"키움센터, 초등학생","초등학생, 초등, 키움센터",상
PROP-202208,대중교통 임산부 배려석 뱃지 태그 시스템 도입,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202208,2026-06-19,2026,28.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202208,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석, 뱃지",상
PROP-202191,지역아동센터앞 교통안전을 위해서 붉은색으로 도로 안전구역 표시 부탁드립니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202191,2026-06-17,2026,0.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202191,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,아동,지역아동센터,중
PROP-202145,임산부 배려 뱃지 배포,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202145,2026-06-10,2026,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202145,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 뱃지",상
PROP-202127,서울시 신혼부부 이자지원 사업,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202127,2026-06-08,2026,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202127,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-202116,유기동물 입양 활성화를 위한 청소년 참여형 홍보 프로젝트 및 지원 제도 마련 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202116,2026-06-07,2026,2.0,0,N,미상,취약·다양가족 사각지대,위기임산부,위기임산부 보호,사각지대 보호,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202116,취약·다양가족 사각지대,저소득·차상위·입양,저소득·입양가정 지원,출산양육 후보,입양,입양,중
